Season,Squad,Country,Comp,LgRank,MP,W,D,L,GF,GA,Pts,Attendance
2022,Arsenal,eng ENG,1. Premier League,1,14,12,1,1,33,11,37,60135
2021,Arsenal,eng ENG,1. Premier League,5,38,22,3,13,61,48,69,59665
2020,Arsenal,eng ENG,1. Premier League,8,38,18,7,13,55,39,61,632
2019,Arsenal,eng ENG,1. Premier League,8,38,14,14,10,56,48,56,47589
2018,Arsenal,eng ENG,1. Premier League,5,38,21,7,10,73,51,70,59899
2017,Arsenal,eng ENG,1. Premier League,6,38,19,6,13,74,51,63,59323
2016,Arsenal,eng ENG,1. Premier League,5,38,23,6,9,77,44,75,59957
2015,Arsenal,eng ENG,1. Premier League,2,38,20,11,7,65,36,71,59944
2014,Arsenal,eng ENG,1. Premier League,3,38,22,9,7,71,36,75,59992
2013,Arsenal,eng ENG,1. Premier League,4,38,24,7,7,68,41,79,60013
2012,Arsenal,eng ENG,1. Premier League,4,38,21,10,7,72,37,73,60079
2011,Arsenal,eng ENG,1. Premier League,3,38,21,7,10,74,49,70,60000
2010,Arsenal,eng ENG,1. Premier League,4,38,19,11,8,72,43,68,60025
2009,Arsenal,eng ENG,1. Premier League,3,38,23,6,9,83,41,75,59927
2008,Arsenal,eng ENG,1. Premier League,4,38,20,12,6,68,37,72,60040
2007,Arsenal,eng ENG,1. Premier League,3,38,24,11,3,74,31,83,60070
2006,Arsenal,eng ENG,1. Premier League,4,38,19,11,8,63,35,68,60140
2005,Arsenal,eng ENG,1. Premier League,4,38,20,7,11,68,31,67,38184
2004,Arsenal,eng ENG,1. Premier League,2,38,25,8,5,87,36,83,37979
2003,Arsenal,eng ENG,1. Premier League,1,38,26,12,0,73,26,90,38079
2002,Arsenal,eng ENG,1. Premier League,2,38,23,9,6,85,42,78,38042
2001,Arsenal,eng ENG,1. Premier League,1,38,26,9,3,79,36,87,38055
2000,Arsenal,eng ENG,1. Premier League,2,38,20,10,8,63,38,70,37974
1999,Arsenal,eng ENG,1. Premier League,2,38,22,7,9,73,43,73,38033
1998,Arsenal,eng ENG,1. Premier League,2,38,22,12,4,59,17,78,38023
1997,Arsenal,eng ENG,1. Premier League,1,38,23,9,6,68,33,78,38053
1996,Arsenal,eng ENG,1. Premier League,3,38,19,11,8,62,32,68,37821
2022,Manchester City,eng ENG,1. Premier League,2,14,10,2,2,40,14,32,53152
2021,Manchester City,eng ENG,1. Premier League,1,38,29,6,3,99,26,93,52774
2020,Manchester City,eng ENG,1. Premier League,1,38,27,5,6,83,32,86,526
2019,Manchester City,eng ENG,1. Premier League,2,38,26,3,9,102,35,81,37097
2018,Manchester City,eng ENG,1. Premier League,1,38,32,2,4,95,23,98,54130
2017,Manchester City,eng ENG,1. Premier League,1,38,32,4,2,106,27,100,54070
2016,Manchester City,eng ENG,1. Premier League,3,38,23,9,6,80,39,78,54019
2015,Manchester City,eng ENG,1. Premier League,4,38,19,9,10,71,41,66,54041
2014,Manchester City,eng ENG,1. Premier League,2,38,24,7,7,83,38,79,45365
2013,Manchester City,eng ENG,1. Premier League,1,38,27,5,6,102,37,86,47075
2012,Manchester City,eng ENG,1. Premier League,2,38,23,9,6,66,34,78,46974
2011,Manchester City,eng ENG,1. Premier League,1,38,28,5,5,93,29,89,47045
2010,Manchester City,eng ENG,1. Premier League,3,38,21,8,9,60,33,71,45905
2009,Manchester City,eng ENG,1. Premier League,5,38,18,13,7,73,45,67,45470
2008,Manchester City,eng ENG,1. Premier League,10,38,15,5,18,58,50,50,43162
